,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
3_CAPX_sft_1,,,,,,,,,5.3349137306213376e-05,1.80524708761237e-05,0.00022340118885040284,0.00020884067381336026,,,,,,,,,4.7448277473449704e-05,2.1864364495530878e-05,1.0281801223754883e-05,2.225468943454431e-05
3_CAPX_sft_2,,,,,,,,,3.725290298461914e-07,2.417940124915436e-06,-0.00010012388229370117,0.00013120347903931723,,,,,,,,,2.8371810913085938e-05,6.541205824934708e-06,9.274482727050781e-06,7.65255280848039e-06
4_RnD,-2.8762221336364747e-05,4.319763657742515e-05,0.0,0.0,-1.1044740676879883e-05,2.2553966374564747e-05,0.0,0.0,1.4516711235046387e-05,9.379939031579955e-06,0.0,0.0,2.289116382598877e-05,7.878904399970199e-06,0.0,0.0,2.3740530014038087e-05,1.0252043951290421e-05,0.0,0.0,6.210803985595703e-05,3.039125781238977e-05,0.0,0.0
4_RnD_sft_1,,,,,,,,,3.2782554626464844e-06,9.779340443998802e-06,0.0,0.0,,,,,,,,,-3.6060810089111327e-07,5.0833659765995855e-06,0.0,0.0
4_RnD_sft_2,,,,,,,,,5.4955482482910156e-05,2.81626853316538e-05,0.0,0.0,,,,,,,,,2.8717517852783204e-05,8.879158710449111e-06,0.0,0.0
5_Gross Margin,0.013565412163734436,0.00016943049629855586,0.16248176097869874,0.00012068321625724586,0.00018313229084014891,6.809529988080381e-05,9.216368198394775e-06,2.3901878743341507e-05,0.0003928840160369873,4.778424298373417e-05,0.004574769735336303,0.00014074123969067204,0.00022326707839965821,3.1312795954065686e-05,1.1071562767028809e-05,1.7439533753422378e-05,0.0008329957723617554,3.637086657435181e-05,-2.1025538444519043e-05,1.8441278793784257e-05,4.943609237670898e-05,5.5658097601053346e-05,-4.887580871582031e-06,3.9290606931746224e-06
5_Gross Margin_sft_1,,,,,,,,,0.0016653984785079956,9.563322996989303e-05,5.061626434326172e-05,3.113677470560135e-05,,,,,,,,,0.00019231140613555907,5.444364520962461e-05,-3.081560134887695e-05,1.2440529617815483e-05
5_Gross Margin_sft_2,,,,,,,,,0.008869737386703491,8.56367724342272e-05,0.01093934178352356,0.00015363201842612983,,,,,,,,,6.440579891204834e-05,2.128055150710196e-05,-0.00012620389461517333,1.1534837095595969e-05
6_Sales & Admin. Exp.,-2.7978420257568358e-05,3.919949390665785e-05,-2.9802322387695314e-09,5.960464477539064e-09,-2.9802322387695314e-09,1.4600096599955428e-08,0.0,0.0,2.5272369384765624e-06,3.095220479190551e-06,0.0,0.0,-8.940696716308593e-09,7.300048299977715e-09,0.0,0.0,0.0007232993841171265,4.7758971932211125e-05,-1.5343725681304932e-05,1.8538163635650095e-05,1.0082125663757325e-05,1.0259142039456698e-05,1.9550323486328123e-06,7.32519017144015e-07
6_Sales & Admin. Exp._sft_1,,,,,,,,,1.1920928955078126e-08,1.7377590819732252e-08,0.0,0.0,,,,,,,,,0.00020878612995147705,3.72676076477755e-05,4.899203777313233e-05,5.206903048006057e-05
6_Sales & Admin. Exp._sft_2,,,,,,,,,7.748603820800782e-08,6.488424854599607e-08,-8.64267349243164e-08,9.396006328126458e-08,,,,,,,,,0.00018960535526275636,3.8289327915015276e-05,0.0002651512622833252,7.955164400500035e-05
9_Order Backlog,0.014677417278289796,0.00010599611157872897,0.17451277375221252,0.0003616540042360787,0.0004922091960906982,5.349523393552621e-05,0.0001924574375152588,4.944096766725854e-05,0.0004005640745162964,2.7076861585886654e-05,0.005440855026245117,4.760434354541683e-05,0.00035104751586914065,4.3427502627343964e-05,0.0007905125617980957,0.00016428219569009143,0.0008029699325561524,4.7648830244093705e-05,2.816319465637207e-07,2.336610476727706e-05,2.1666288375854492e-05,1.6203588732815808e-05,3.114640712738037e-05,2.4814238306636353e-05
9_Order Backlog_sft_1,,,,,,,,,0.017469745874404908,0.00017163331142615873,0.0006462991237640381,0.0002140021298043869,,,,,,,,,0.00042862296104431155,4.987106915066753e-05,8.624792098999023e-06,5.6576044983354086e-05
9_Order Backlog_sft_2,,,,,,,,,0.009201335906982421,6.345133183575652e-05,0.01125795841217041,0.0002528939696552939,,,,,,,,,0.00024793148040771487,4.102542993998052e-05,-8.787214756011963e-05,0.00025221836506014955
columns,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std,train_weight,train_std,val_weight,val_std
time_step,200000_201500,200000_201500,200000_201500,200000_201500,200100_201600,200100_201600,200100_201600,200100_201600,200200_201700,200200_201700,200200_201700,200200_201700,200300_201800,200300_201800,200300_201800,200300_201800,200400_201900,200400_201900,200400_201900,200400_201900,200500_202000,200500_202000,200500_202000,200500_202000
y_eps pct,7.447600364685059e-05,1.9875340624366988e-05,2.1332502365112303e-05,3.818277987209014e-05,0.0006992459297180176,0.00012502350046834817,0.0006882667541503907,0.00030774429369900927,2.9328465461730958e-05,3.2997217481423566e-05,-7.326006889343261e-05,3.8277025066156886e-05,0.0010764211416244506,0.00011115559545570402,0.0014896363019943238,0.0002945843466922418,0.0013642579317092896,0.00019536644191233646,0.00311649888753891,0.0005665285011372663,0.0006132513284683227,4.5367329180905266e-05,0.000935894250869751,0.00023770982579382328
y_eps pct_sft_1,,,,,,,,,5.9598684310913085e-05,1.5853705558630688e-05,2.319514751434326e-05,1.8527034087360495e-05,,,,,,,,,0.00035279393196105955,6.485005320183429e-05,0.00014856457710266113,9.664556386490268e-05
y_eps pct_sft_2,,,,,,,,,5.151033401489258e-05,2.6651111339861365e-05,1.5491247177124022e-05,3.0664259043042825e-05,,,,,,,,,0.0014902830123901367,9.050089321838526e-05,0.0015005350112915039,0.0002234145852607716
