,200000_201500_train_weight,200000_201500_train_std,200000_201500_val_weight,200000_201500_val_std,200100_201600_train_weight,200100_201600_train_std,200100_201600_val_weight,200100_201600_val_std,200200_201700_train_weight,200200_201700_train_std,200200_201700_val_weight,200200_201700_val_std,200300_201800_train_weight,200300_201800_train_std,200300_201800_val_weight,200300_201800_val_std,200400_201900_train_weight,200400_201900_train_std,200400_201900_val_weight,200400_201900_val_std,200500_202000_train_weight,200500_202000_train_std,200500_202000_val_weight,200500_202000_val_std
11_inventory_sft_3,1.0359287261962891e-05,2.3188122054874144e-06,-2.0265579223632812e-07,7.71338915609186e-06,,,,,-2.683401107788086e-05,4.433825466812038e-05,0.0001377105712890625,2.6374919939501924e-05,,,,,,,,,0.0,0.0,0.0,0.0
12_sales,3.3849477767944335e-05,1.5337693917507994e-05,5.2469968795776364e-05,3.0729877392715736e-05,5.475878715515137e-05,5.1015453550628e-05,0.00018434524536132814,0.00025762615586741945,6.0385465621948244e-05,3.546553198198471e-05,-0.00042819976806640625,2.1779899327942933e-05,9.202957153320313e-06,4.412813281051055e-06,9.34600830078125e-06,1.9041875259336802e-05,0.0004968762397766114,0.0001727407881521547,0.0002411484718322754,0.00023710364606981975,0.0,0.0,-2.384185791015625e-08,2.920019319991086e-08
12_sales_sft_1,2.3996829986572267e-05,6.368231210631007e-06,-1.0126829147338868e-05,4.428975019583511e-05,0.00021318793296813964,9.202028022877782e-05,6.426572799682617e-05,0.00020952449926322752,4.4226646423339845e-06,3.9591864729435695e-05,4.5794248580932614e-05,8.778967104143577e-05,0.0006064295768737793,5.620645313258127e-06,0.0003374934196472168,0.0005490374471867286,0.0005682408809661865,0.0001162080975120545,0.0005117416381835938,0.0005175946025494987,5.960464477539063e-09,1.1920928955078127e-08,0.0,0.0
12_sales_sft_2,2.6690959930419923e-05,1.421898253327119e-05,1.6230344772338868e-05,2.016950723305828e-05,,,,,3.933310508728027e-05,4.5743764720173055e-05,-3.375411033630371e-05,2.576350768627791e-05,2.837181091308594e-06,8.526589747546991e-07,7.058382034301758e-05,0.00011520697700187779,0.0007644534111022949,0.0001633282984946395,0.00113866925239563,0.00033581943656437705,5.960464477539063e-09,1.1920928955078127e-08,0.0,0.0
12_sales_sft_3,1.0842084884643555e-05,3.6243055049452225e-06,-2.300143241882324e-05,1.955485146120585e-05,,,,,-7.950663566589356e-05,2.9188038523128666e-05,2.753138542175293e-05,6.177942906454342e-05,,,,,,,,,0.0,0.0,0.0,0.0
13_depreciation,3.7550926208496094e-06,3.075449500003304e-06,2.8908252716064453e-06,3.2433362347373734e-06,-3.302693367004395e-05,3.3701065992246615e-05,2.6935338973999022e-05,3.230564268744003e-05,3.9625167846679685e-05,2.0864142538561384e-05,-0.00029343366622924805,1.4521727082574187e-05,-1.2874603271484376e-06,2.602983358645919e-06,1.0049343109130859e-05,2.3105226794481968e-05,0.0011366009712219238,0.00014987199705382472,0.00022529959678649903,0.0003866433660831263,0.0,0.0,0.0,0.0
13_depreciation_sft_1,5.0067901611328125e-06,3.815349135730198e-06,3.3259391784667967e-06,4.85701423319141e-06,4.615187644958496e-05,1.575151953960238e-05,4.838109016418457e-05,6.800679860559643e-05,-3.063678741455078e-06,3.694192982471802e-05,-3.590583801269531e-05,3.5995369834544395e-05,-3.564357757568359e-06,2.570584628838697e-06,2.4181604385375976e-05,7.595650174099028e-05,0.0008420407772064209,0.0001006205168546097,0.00010361075401306152,0.0002493093820564305,5.960464477539063e-09,1.1920928955078126e-08,0.0,0.0
13_depreciation_sft_2,-3.0398368835449217e-07,1.7627664315008016e-06,-2.682209014892578e-06,2.8190539597724697e-06,,,,,-0.00011628866195678711,0.0002215422325577927,-1.2046098709106445e-05,6.019326497059272e-05,1.5950202941894533e-05,2.5361338593709084e-06,0.0007564187049865723,0.0013244877685333954,0.0005111455917358399,6.664159249835062e-05,0.00025442838668823244,0.00012283587090840817,5.960464477539063e-09,1.1920928955078127e-08,0.0,0.0
13_depreciation_sft_3,2.408027648925781e-06,8.048613620944189e-07,-8.404254913330078e-07,3.209332381470901e-06,,,,,0.00012208819389343263,3.371311422006292e-05,-2.014636993408203e-06,6.923987099833327e-06,,,,,,,,,0.0,0.0,0.0,0.0
14_div per share,3.814697265625e-07,3.244891313805163e-06,1.9818544387817383e-05,3.0001742020230934e-05,-1.1324882507324218e-07,2.334494117208259e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0889768600463867e-05,2.0944826222898764e-05,0.0,0.0,0.0,0.0,0.0,0.0
14_div per share_sft_1,1.710653305053711e-06,1.843085106858033e-06,-1.1920928955078126e-08,1.460009659995543e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9490718841552736e-06,4.226578768054064e-06,0.0,0.0,0.0,0.0,0.0,0.0
14_div per share_sft_2,2.2411346435546876e-06,3.74255471399125e-06,-1.7881393432617187e-08,1.460009659995543e-08,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14_div per share_sft_3,-4.76837158203125e-08,4.042583693936627e-08,-1.7881393432617187e-08,1.460009659995543e-08,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0
17_ROE,0.0,0.0,-2.9802322387695312e-08,0.0,5.900859832763672e-07,1.499077553160099e-06,-3.5762786865234374e-08,2.6615993454177505e-07,0.0,0.0,0.0,0.0,0.0,0.0,-1.1920928955078126e-08,2.3841857910156255e-08,5.930662155151367e-06,6.914370014994169e-06,4.416704177856445e-06,5.777040098411288e-07,0.0,0.0,0.0,0.0
17_ROE_sft_1,4.1723251342773435e-08,7.679521278575138e-08,-2.384185791015625e-08,1.1920928955078126e-08,-1.7881393432617187e-08,1.3962761755392673e-06,1.3113021850585939e-07,4.042583693936627e-08,2.9802322387695312e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6941299438476564e-06,6.5921659271092816e-06,7.158517837524414e-06,1.0302124462482782e-06,0.0,0.0,0.0,0.0
17_ROE_sft_2,7.152557373046875e-08,3.576278686523438e-08,-1.7881393432617187e-08,1.460009659995543e-08,,,,,1.1920928955078126e-08,1.460009659995543e-08,1.7881393432617187e-08,1.460009659995543e-08,0.0,0.0,9.5367431640625e-08,1.9073486328125004e-07,1.2880563735961914e-05,8.504736941139467e-06,6.139278411865234e-06,1.8787285700409991e-06,0.0,0.0,0.0,0.0
17_ROE_sft_3,1.7881393432617187e-08,3.5762786865234374e-08,-1.1920928955078126e-08,1.460009659995543e-08,,,,,5.960464477539063e-09,1.1920928955078126e-08,1.1920928955078126e-08,1.460009659995543e-08,,,,,,,,,0.0,0.0,0.0,0.0
