index_ric,tr_indexname,tr_indexjlconstituentchangedate,tr_indexjlconstituentric,tr_indexjlconstituentname,tr_indexjlconstituentcomname,constituent_ric
.SPX,S&P 500,1998-07-16T00:00:00Z,GFSa.A^K98,Gian of Maryland,Gian of Maryland Inc,GFSa.A
.SPX,S&P 500,1998-07-16T00:00:00Z,WMX.N^G98,Waste Mgmt Hldg,Waste Management Holdings Inc,WMX.N
.SPX,S&P 500,1998-08-10T00:00:00Z,WAI.N^H98,Western Atlas,Western Atlas Holdings LLC,WAI.N
.SPX,S&P 500,1998-08-14T00:00:00Z,MST.N^H98,Mercantile Store,Mercantile Stores Company Inc,MST.N
.SPX,S&P 500,1998-08-28T00:00:00Z,DIGI.O^I98,Alcatel Lct Hldg,Alcatel Lucent Holdings Inc,DIGI.O
.SPX,S&P 500,1998-08-31T00:00:00Z,BAY.N^H98,Nortel Ntwrks NA,Nortel Networks NA Inc,BAY.N
.SPX,S&P 500,1998-09-16T00:00:00Z,MCIC.O^I98,MCI Comm,MCI Communications Corp,MCIC.O
.SPX,S&P 500,1998-09-21T00:00:00Z,C.N,Citigroup,Citigroup Inc,C.N
.SPX,S&P 500,1998-09-28T00:00:00Z,MNR.N^I98,MANOR CARE,Manor Care Inc,MNR.N
.SPX,S&P 500,1998-10-01T00:00:00Z,BAC.N^I98,Bank America,Bankamerica Corp,BAC.N
.SPX,S&P 500,1998-10-02T00:00:00Z,DI.N^I98,DII Indus,Dii Industries LLC,DI.N
.SPX,S&P 500,1998-10-02T00:00:00Z,AHM.N^J98,HF Ahmanson Co,HF Ahmanson & Co,AHM.N
.SPX,S&P 500,1998-10-02T00:00:00Z,USS.N^J98,US Surgical,United States Surgical Corp,USS.N
.SPX,S&P 500,1998-10-02T00:00:00Z,FCN.N^J98,First Chicgo NBD,First Chicago NBD Corp,FCN.N
.SPX,S&P 500,1998-10-07T00:00:00Z,GSX.N^J98,SPX,SPX Corp,GSX.N
.SPX,S&P 500,1998-11-02T00:00:00Z,WFC.N^K98,Wells Fargo,Wells Fargo & Co,WFC.N
.SPX,S&P 500,1998-11-13T00:00:00Z,C.N^K98,Old Carco,Old Carco LLC,C.N
.SPX,S&P 500,1998-11-18T00:00:00Z,STO.N^K98,Smurfit-Stone,Smurfit-Stone Container Corp,STO.N
.SPX,S&P 500,1998-11-24T00:00:00Z,AS.N^I99,Armco,ArmCo Inc,AS.N
.SPX,S&P 500,1998-12-22T00:00:00Z,GRN.N^L98,General Re,General Re Corp,GRN.N
.SPX,S&P 500,1998-12-31T00:00:00Z,PZE.N^H99,PennzEnergy,PennzEnergy Co,PZE.N
.SPX,S&P 500,1999-01-04T00:00:00Z,FL.N,Foot Locker,Foot Locker Inc,FL.N
.SPX,S&P 500,1999-01-04T00:00:00Z,AN.N^L98,BP Nrth Amrc,BP Corp North America Inc,AN.N
.SPX,S&P 500,1999-01-04T00:00:00Z,SAI.N^L98,SAFG Retirement,SAFG Retirement Services Inc,SAI.N
.SPX,S&P 500,1999-01-13T00:00:00Z,HBOC.O^A99,HBO & COMPANY,Hbo & Co,HBOC.O
.SPX,S&P 500,1999-03-01T00:00:00Z,ORX.N^B99,Oryx Energy,Oryx Energy Co,ORX.N
.SPX,S&P 500,1999-03-10T00:00:00Z,TCOMA.O^C99,TCI Commun,Tci Communications Inc,TCOMA.O
.SPX,S&P 500,1999-03-22T00:00:00Z,WOR,Worthington Ind,Worthington Industries Inc,WOR
.SPX,S&P 500,1999-03-25T00:00:00Z,RBD.N^C99,Rubbermaid,Rubbermaid Inc,RBD.N
.SPX,S&P 500,1999-04-05T00:00:00Z,AMP.N^D99,TE corp,TE Connectivity Corp,AMP.N
.SPX,S&P 500,1999-04-12T00:00:00Z,ANV.N^D99,Aeroquip-Vickers,Aeroquip-Vickers Inc,ANV.N
.SPX,S&P 500,1999-05-03T00:00:00Z,UCC.N^D99,Union Camp,Union Camp Corp,UCC.N
.SPX,S&P 500,1999-05-06T00:00:00Z,PKN.N^E99,Applied Biosyst,Applied Biosystems Inc,PKN.N
.SPX,S&P 500,1999-05-28T00:00:00Z,FMY.N^E99,Fred Meyer,Fred Meyer Inc,FMY.N
.SPX,S&P 500,1999-05-28T00:00:00Z,MWI.N^C04,Moore Wallace,Moore Wallace Inc,MWI.N
.SPX,S&P 500,1999-06-04T00:00:00Z,BT.N^F99,Deutsche Bk,Deutsche Bank Trust Corp,BT.N
.SPX,S&P 500,1999-06-22T00:00:00Z,MII.N^F99,Morton Intl,Morton International LLC,MII.N
.SPX,S&P 500,1999-06-24T00:00:00Z,ASC.N^F99,American Stores,American Stores Company LLC,ASC.N
.SPX,S&P 500,1999-06-25T00:00:00Z,ASND.O^F99,Ascend Comm,Ascend Communications Inc,ASND.O
.SPX,S&P 500,1999-06-29T00:00:00Z,ATI.N^F99,Verizon Americas,Verizon Americas Inc,ATI.N
.SPX,S&P 500,1999-06-30T00:00:00Z,PVT.N^F99,PROVIDENT COMP.,Provident Companies Inc,PVT.N
.SPX,S&P 500,1999-07-22T00:00:00Z,TA.N^G99,Transamerica,Transamerica Corp,TA.N
.SPX,S&P 500,1999-08-02T00:00:00Z,BFI.N^H99,Browning-Ferris,Browning-Ferris Industries Inc,BFI.N
.SPX,S&P 500,1999-08-02T00:00:00Z,NLC.N^L99,ChampionX.,ChampionX LLC,NLC.N
.SPX,S&P 500,1999-08-09T00:00:00Z,BMG.N^A01,Battle Mtn Gold,Battle Mountain Gold Co,BMG.N
.SPX,S&P 500,1999-08-13T00:00:00Z,RYC.N^H99,Raychem,Raychem Corp,RYC.N
.SPX,S&P 500,1999-09-20T00:00:00Z,MTL.N^I99,Merctile Bancorp,Mercantile Bancorporation Inc,MTL.N
.SPX,S&P 500,1999-09-29T00:00:00Z,FRO.N^I99,Global Cros Nrt,Global Crossing North America Inc,FRO.N
.SPX,S&P 500,1999-10-01T00:00:00Z,FTL.N^E00,Fruit of Loom,Fruit Of The Loom Ltd,FTL.N
.SPX,S&P 500,1999-10-01T00:00:00Z,BKB.N^J99,Bk of Boston,Bank of Boston Corp,BKB.N
.SPX,S&P 500,1999-10-04T00:00:00Z,PHB.N^J99,Pioneer Hi Bred,Pioneer Hi-Bred International Inc,PHB.N
.SPX,S&P 500,1999-10-12T00:00:00Z,AIT.N^J99,AT&T Teleholding,AT&T Teleholdings Inc,AIT.N
